incident_number,offense_code_group,occurred_on_date,lat,long
I192009677,Auto Theft,25/11/2018 16:12,4.225.395.990,-7.111.962.283
I192006580,Larceny,29/11/2018 00:00,4.234.937.839,-7.113.249.037
I192003715,Residential Burglary,22/12/2018 15:30,4.235.540.113,-7.113.090.649
I192002932,Larceny,30/11/2018 08:00,4.235.706.678,-7.113.375.534
I192002141,Larceny,28/12/2018 00:00,4.232.525.553,-7.109.365.254
I192001070,Larceny,25/10/2018 16:10,4.235.942.556,-7.105.288.819
I192000608,Larceny,13/12/2018 19:00,4.234.813.158,-7.108.027.002
I192000261,Residential Burglary,26/12/2018 12:00,4.235.127.685,-7.113.587.892
I182105242,Larceny,20/12/2018 14:00,4.233.482.917,-7.104.705.015
I182105123,Larceny From Motor Vehicle,30/12/2018 20:30,4.234.280.177,-7.110.069.510
I182105052,Residential Burglary,31/12/2018 03:28,4.226.904.349,-7.116.631.361
I182104930,Larceny,28/12/2018 11:56,4.235.007.201,-7.113.202.926
I182104812,Larceny From Motor Vehicle,29/12/2018 23:48,4.236.067.984,-7.105.482.325
I182104711,Aggravated Assault,29/12/2018 18:50,4.229.549.223,-7.108.587.040
I182104593,Larceny,29/12/2018 08:14,4.230.018.979,-7.108.244.261
I182104494,Larceny,14/11/2018 00:00,4.235.360.676,-7.116.662.133
I182104435,Larceny,25/12/2018 07:29,4.234.373.406,-7.107.419.160
I182104350,Residential Burglary,28/12/2018 07:16,4.228.508.809,-7.108.789.462
I182104242,Larceny From Motor Vehicle,26/12/2018 19:00,4.234.725.924,-7.106.177.039
I182104119,Larceny,11/12/2018 00:00,4.229.202.056,-7.106.681.679
I182103978,Larceny,26/12/2018 16:25,4.235.942.556,-7.105.288.819
I182103906,Larceny,26/12/2018 10:23,4.234.615.178,-7.107.404.347
I182103840,Larceny From Motor Vehicle,25/12/2018 22:35,4.235.030.915,-7.107.988.963
I182103730,Residential Burglary,25/12/2018 08:06,4.234.337.030,-7.107.552.817
I182103605,Larceny,24/12/2018 14:45,4.236.165.196,-7.105.630.529
I182103540,Larceny,18/12/2018 00:00,4.231.915.678,-7.110.067.583
I182103424,Larceny,23/12/2018 16:00,4.229.850.850,-7.106.786.956
I182103324,Larceny From Motor Vehicle,22/12/2018 18:30,4.234.924.680,-7.108.956.259
I182103180,Larceny From Motor Vehicle,22/12/2018 13:00,4.233.719.922,-7.104.250.150
I182103120,Aggravated Assault,22/12/2018 13:52,4.233.210.843,-7.107.014.395
I182103046,Larceny,07/12/2018 10:00,4.234.617.617,-7.115.448.684
I182102957,Robbery,21/12/2018 23:38,4.237.764.002,-7.103.151.871
I182102838,Larceny,21/12/2018 16:59,4.235.512.339,-7.106.087.980
I182102769,Larceny,20/12/2018 18:28,4.234.348.845,-7.108.179.542
I182102621,Larceny,20/12/2018 09:30,4.230.356.539,-7.107.868.148
I182102497,Larceny,17/12/2018 17:17,4.235.997.967,-7.105.474.135
I182102401,Larceny,19/12/2018 14:21,4.233.553.188,-7.104.769.502
I182102274,Residential Burglary,19/12/2018 17:11,4.233.582.335,-7.104.722.460
I182102190,Residential Burglary,17/12/2018 03:40,4.231.162.834,-7.108.094.294
I182102108,Auto Theft,18/12/2018 11:00,4.237.338.649,-7.106.229.593
I182102019,Robbery,18/12/2018 20:30,4.228.405.588,-7.109.045.322
I182101913,Larceny,17/12/2018 23:00,4.235.785.938,-7.113.368.353
I182101846,Larceny,18/12/2018 12:21,4.224.288.459,-7.112.255.206
I182101792,Larceny From Motor Vehicle,18/12/2018 07:51,4.227.527.670,-7.109.554.245
I182101729,Larceny From Motor Vehicle,18/12/2018 07:53,4.232.821.952,-7.108.082.768
I182101663,Robbery,17/12/2018 20:51,4.235.927.699,-7.106.771.271
I182101565,Larceny From Motor Vehicle,16/12/2018 20:00,4.234.347.698,-7.107.822.747
I182101504,Auto Theft,12/11/2018 00:00,4.230.573.129,-7.105.755.949
I182101433,Larceny From Motor Vehicle,17/12/2018 08:20,4.231.681.029,-7.110.056.562
I182101287,Robbery,27/10/2018 15:30,4.233.731.980,-7.105.257.179
I182101196,Commercial Burglary,16/12/2018 11:20,4.235.602.373,-7.106.177.615
I182101117,Larceny From Motor Vehicle,15/12/2018 22:55,4.228.618.607,-7.113.876.712
I182101039,Larceny From Motor Vehicle,15/12/2018 14:00,4.228.059.505,-7.117.091.524
I182100992,Larceny,15/12/2018 12:46,4.227.357.721,-7.106.770.430
I182100838,Larceny,14/12/2018 15:56,4.228.526.024,-7.106.444.063
I182100785,Larceny,14/12/2018 18:46,4.234.840.576,-7.108.688.339
I182100659,Commercial Burglary,14/12/2018 09:24,4.234.241.899,-7.109.678.306
I182100553,Larceny,13/12/2018 18:43,4.233.598.510,-7.105.008.287
I182100456,Larceny,13/12/2018 13:25,4.234.797.240,-7.107.849.582
I182100348,Larceny,13/12/2018 07:57,4.232.696.647,-7.106.198.607
I182100256,Larceny,12/12/2018 19:35,4.237.901.498,-7.103.920.664
I182100165,Larceny,12/12/2018 14:10,4.235.648.631,-7.105.928.145
I182100100,Larceny,12/12/2018 11:51,4.228.716.674,-7.107.633.479
I182100047,Larceny,07/12/2018 08:00,4.227.908.752,-7.108.148.351
I182099963,Aggravated Assault,05/12/2018 15:10,4.234.588.967,-7.116.023.257
I182099845,Larceny,09/12/2018 19:45,4.234.797.240,-7.107.849.582
I182099711,Homicide,10/12/2018 21:58,4.227.373.936,-7.110.108.024
I182099604,Larceny,06/12/2018 17:00,4.232.856.401,-7.106.835.343
I182099527,Larceny,10/12/2018 13:04,4.234.227.908,-7.109.152.151
I182099407,Larceny From Motor Vehicle,10/12/2018 00:36,4.236.067.984,-7.105.482.325
I182099290,Larceny From Motor Vehicle,09/12/2018 17:16,4.230.202.760,-7.106.056.529
I182099237,Larceny,09/12/2018 13:01,4.236.439.256,-7.106.093.185
I182099115,Larceny,08/12/2018 20:01,4.227.179.929,-7.107.287.043
I182099042,Residential Burglary,07/12/2018 13:00,4.228.104.853,-7.107.206.440
I182098947,Larceny,16/11/2018 12:00,4.229.848.866,-7.106.313.294
I182098810,Larceny,07/12/2018 14:00,4.235.997.967,-7.105.474.135
I182098712,Larceny,07/12/2018 14:38,4.228.446.743,-7.111.183.089
I182098619,Larceny,05/12/2018 11:30,4.234.527.064,-7.115.298.859
I182098497,Larceny,06/12/2018 18:10,4.236.033.536,-7.107.081.975
I182098399,Aggravated Assault,06/12/2018 00:00,4.232.052.521,-7.107.610.051
I182098334,Commercial Burglary,06/12/2018 09:38,4.225.395.990,-7.111.962.283
I182098187,Larceny,05/12/2018 15:00,4.227.581.799,-7.113.991.259
I182098125,Larceny,29/11/2018 08:00,4.228.347.932,-7.113.549.328
I182097954,Auto Theft,04/12/2018 23:15,4.232.742.591,-7.107.702.562
I182097848,Larceny,04/12/2018 16:08,4.232.809.966,-7.106.321.676
I182097732,Larceny,08/11/2018 13:18,4.235.591.935,-7.106.000.539
I182097611,Robbery,03/12/2018 23:02,4.228.061.230,-7.108.350.146
I182097528,Larceny,03/12/2018 17:26,4.234.862.382,-7.108.277.637
I182097463,Larceny,03/12/2018 15:27,4.235.997.967,-7.105.474.135
I182097368,Residential Burglary,30/11/2018 22:30,4.236.535.919,-7.105.837.488
I182097240,Larceny,02/12/2018 20:22,4.225.843.097,-7.111.586.289
I182097155,Larceny,01/12/2018 19:57,4.234.901.954,-7.108.130.134
I182097079,Larceny,02/12/2018 03:58,4.233.731.438,-7.104.852.327
I182096977,Larceny,01/12/2018 18:00,4.228.512.354,-7.104.405.667
I182096893,Aggravated Assault,01/12/2018 13:26,4.229.521.820,-7.106.068.709
I182096826,Larceny,01/12/2018 09:45,4.234.877.575,-7.109.606.805
I182096722,Larceny,30/11/2018 20:26,4.236.517.244,-7.106.002.997
I182096653,Larceny,21/11/2018 12:23,4.234.507.147,-7.108.057.788
I182096582,Larceny,23/11/2018 00:00,4.229.430.844,-7.106.188.628
I182096487,Larceny From Motor Vehicle,29/11/2018 22:00,4.232.709.687,-7.105.253.559
I182096362,Robbery,29/11/2018 17:40,4.232.283.759,-7.110.096.723
I182096296,Larceny,12/11/2018 06:20,4.227.810.078,-7.117.867.378
I182096188,Aggravated Assault,29/11/2018 10:55,4.233.506.218,-7.109.316.781
I182096128,Larceny,09/11/2018 09:00,4.230.512.773,-7.107.370.747
I182096044,Larceny,28/11/2018 19:36,4.228.927.291,-7.106.622.608
I182095951,Robbery,26/11/2018 23:00,4.229.026.471,-7.106.599.003
I182095856,Larceny,27/11/2018 21:00,4.235.774.054,-7.105.956.789
I182095749,Larceny,27/11/2018 20:03,4.226.701.085,-7.112.096.171
I182095703,Robbery,27/11/2018 16:40,4.235.426.247,-7.105.883.334
I182095642,Larceny,27/11/2018 14:04,4.234.999.733,-7.108.103.440
I182095570,Larceny,27/11/2018 10:43,4.235.187.022,-7.112.127.436
I182095452,Larceny,26/11/2018 20:21,4.232.183.637,-7.105.928.338
I182095363,Auto Theft,14/11/2018 18:00,4.229.278.755,-7.106.177.616
I182095289,Aggravated Assault,21/11/2018 23:30,4.235.754.620,-7.105.881.953
I182095222,Larceny,21/11/2018 19:00,4.234.640.381,-7.107.551.289
I182095115,Larceny,25/11/2018 19:01,4.232.696.647,-7.106.198.607
I182095058,Larceny From Motor Vehicle,25/11/2018 14:14,4.228.332.004,-7.116.882.185
I182094985,Commercial Burglary,24/11/2018 06:40,4.232.552.765,-7.105.984.052
I182094866,Larceny,22/11/2018 12:00,4.231.727.185,-7.106.218.928
I182094804,Auto Theft,23/11/2018 19:15,4.233.400.900,-7.103.151.660
I182094721,Residential Burglary,24/11/2018 00:50,4.229.710.452,-7.108.807.731
I182094592,Larceny,23/11/2018 15:19,4.235.037.870,-7.107.626.098
I182094500,Larceny,20/11/2018 08:07,4.235.554.806,-7.106.073.140
I182094392,Larceny From Motor Vehicle,22/11/2018 08:51,4.227.256.988,-7.109.029.352
I182094276,Aggravated Assault,21/11/2018 17:57,4.233.503.481,-7.108.240.248
I182094198,Residential Burglary,17/11/2018 23:00,4.233.965.959,-7.106.700.618
I182094063,Residential Burglary,20/11/2018 08:15,4.230.397.603,-7.110.476.982
I182093960,Larceny,20/11/2018 15:30,4.235.648.631,-7.105.928.145
I182093871,Auto Theft,20/11/2018 12:30,4.235.631.391,-7.105.778.101
I182093798,Larceny,16/11/2018 07:00,4.233.337.699,-7.108.176.590
I182093690,Larceny From Motor Vehicle,19/11/2018 18:31,4.234.935.318,-7.108.423.015
I182093609,Larceny From Motor Vehicle,19/11/2018 13:28,4.230.229.282,-7.107.511.457
I182093476,Residential Burglary,18/11/2018 22:53,4.231.975.730,-7.105.428.941
I182093390,Aggravated Assault,18/11/2018 16:49,4.232.855.807,-7.107.927.600
I182093291,Larceny From Motor Vehicle,17/11/2018 08:45,4.231.252.546,-7.107.389.321
I182093206,Residential Burglary,17/11/2018 22:32,4.229.691.612,-7.108.363.894
I182093115,Larceny,17/11/2018 14:00,4.235.294.720,-7.113.115.032
I182093004,Larceny,17/11/2018 10:34,4.234.862.382,-7.108.277.637
I182092908,Auto Theft,16/11/2018 07:00,4.228.741.838,-7.106.190.780
I182092770,Larceny,16/11/2018 14:54,4.233.755.715,-7.107.836.018
I182092645,Aggravated Assault,15/11/2018 12:40,4.233.123.776,-7.109.140.736
I182092535,Larceny From Motor Vehicle,15/11/2018 16:20,4.230.095.488,-7.106.537.601
I182092440,Aggravated Assault,15/11/2018 06:55,4.228.536.992,-7.117.244.016
I182092350,Robbery,15/11/2018 03:29,4.231.667.114,-7.109.743.705
I182092230,Larceny,14/11/2018 13:30,4.233.190.787,-7.104.412.969
I182092123,Larceny From Motor Vehicle,13/11/2018 20:00,4.231.845.834,-7.108.032.338
I182092034,Aggravated Assault,14/11/2018 05:34,4.233.536.755,-7.105.081.638
I182091940,Larceny,13/11/2018 18:20,4.236.497.550,-7.106.204.400
I182091810,Commercial Burglary,09/11/2018 01:00,4.236.742.934,-7.105.317.428
I182091741,Larceny From Motor Vehicle,13/11/2018 06:50,4.228.665.378,-7.112.665.398
I182091650,Residential Burglary,12/11/2018 18:09,4.229.881.968,-7.106.570.084
I182091580,Larceny From Motor Vehicle,12/11/2018 13:19,4.228.824.209,-7.107.546.090
I182091485,Larceny,11/11/2018 21:30,4.229.013.554,-7.104.065.574
I182091394,Larceny From Motor Vehicle,11/11/2018 11:23,4.232.332.676,-7.110.525.868
I182091228,Robbery,10/11/2018 21:45,4.230.094.500,-7.110.606.700
I182091133,Larceny,10/11/2018 14:59,4.235.942.556,-7.105.288.819
I182091038,Larceny From Motor Vehicle,10/11/2018 08:53,4.229.458.695,-7.105.396.723
I182090924,Larceny,09/11/2018 19:29,4.234.862.382,-7.108.277.637
I182090857,Larceny From Motor Vehicle,09/11/2018 12:00,4.230.175.853,-7.107.462.980
I182090743,Larceny,09/11/2018 04:15,4.233.671.130,-7.107.102.057
I182090641,Auto Theft,06/11/2018 22:00,4.232.859.767,-7.105.363.334
I182090581,Larceny,05/11/2018 18:18,4.234.980.175,-7.107.840.978
I182090479,Larceny From Motor Vehicle,08/11/2018 10:14,4.233.488.926,-7.102.817.379
I182090401,Larceny,04/11/2018 16:00,4.229.631.481,-7.107.839.029
I182090329,Larceny,07/11/2018 09:40,4.235.459.106,-7.106.219.010
I182090269,Larceny,11/06/2018 02:00,4.235.325.379,-7.104.872.410
I182089900,Larceny From Motor Vehicle,06/11/2018 20:30,4.223.265.556,-7.113.069.992
I182089724,Larceny,06/11/2018 13:35,4.233.561.661,-7.103.641.895
I182089597,Larceny,05/11/2018 21:52,4.236.064.470,-7.107.086.192
I182089512,Larceny From Motor Vehicle,05/11/2018 17:35,4.231.743.922,-7.107.547.845
I182089442,Residential Burglary,04/11/2018 00:00,4.224.835.129,-7.111.254.914
I182089300,Residential Burglary,06/09/2018 11:00,4.229.706.179,-7.105.528.404
I182089214,Larceny,04/11/2018 12:30,4.234.640.381,-7.107.551.289
I182089131,Larceny,04/11/2018 01:00,4.234.862.382,-7.108.277.637
I182089052,Larceny,03/11/2018 17:00,4.225.690.712,-7.115.606.182
I182088965,Larceny,03/11/2018 16:24,4.234.241.506,-7.109.521.114
I182088871,Residential Burglary,03/11/2018 11:37,4.232.200.015,-7.108.059.527
I182088787,Aggravated Assault,03/11/2018 02:23,4.228.635.986,-7.109.088.284
I182088665,Larceny,02/11/2018 17:54,4.228.702.169,-7.108.754.609
I182088545,Larceny,01/11/2018 17:00,4.232.945.117,-7.105.665.934
I182088478,Larceny,02/11/2018 08:46,4.233.044.113,-7.108.373.481
I182088337,Residential Burglary,01/11/2018 16:50,4.237.878.502,-7.103.771.768
I182088229,Residential Burglary,31/10/2018 17:00,4.231.736.234,-7.107.724.596
I182088092,Aggravated Assault,31/10/2018 22:15,4.229.321.805,-7.107.886.455
I182087999,Aggravated Assault,31/10/2018 16:35,4.231.485.546,-7.109.922.410
I182087845,Commercial Burglary,29/10/2018 19:00,4.232.955.246,-7.111.112.429
I182087791,Auto Theft,27/10/2018 10:10,4.228.664.294,-7.108.202.510
I182087695,Larceny,29/10/2018 08:30,4.235.540.738,-7.106.312.433
I182087620,Aggravated Assault,30/10/2018 13:21,4.233.285.027,-7.104.417.249
I182087539,Larceny From Motor Vehicle,29/10/2018 16:00,4.231.768.237,-7.107.027.631
I182087454,Larceny From Motor Vehicle,26/10/2018 18:00,4.236.067.984,-7.105.482.325
I182087375,Larceny,29/10/2018 16:03,4.229.240.858,-7.106.436.304
I182087300,Larceny From Motor Vehicle,29/10/2018 12:36,4.229.541.380,-7.106.781.342
I182087160,Larceny,28/10/2018 18:39,4.232.642.853,-7.108.628.759
I182087078,Auto Theft,26/10/2018 16:30,4.227.758.926,-7.111.755.202
I182087004,Commercial Burglary,28/10/2018 07:33,4.228.640.624,-7.104.398.688
I182086899,Larceny,25/10/2018 22:46,4.235.486.542,-7.113.259.322
I182086791,Residential Burglary,27/10/2018 12:30,4.234.412.614,-7.106.980.220
I182086682,Robbery,27/10/2018 02:15,4.235.315.862,-7.113.289.373
I182086539,Larceny,26/10/2018 11:30,4.236.156.104,-7.105.758.234
I182086453,Larceny,26/10/2018 10:49,4.232.696.647,-7.106.198.607
I182086335,Other Burglary,25/10/2018 16:00,4.230.423.559,-7.111.373.036
I182086234,Larceny,25/10/2018 15:16,4.235.177.328,-7.104.704.097
I182086147,Residential Burglary,25/10/2018 10:06,4.232.058.499,-7.111.670.115
I182086057,Larceny,22/10/2018 10:30,4.235.925.113,-7.105.415.945
I182086003,Residential Burglary,24/10/2018 13:00,4.233.025.300,-7.105.559.939
I182085925,Larceny,20/10/2018 23:30,4.234.563.477,-7.107.555.367
I182085827,Auto Theft,24/10/2018 06:15,4.233.048.169,-7.108.166.730
I182085694,Aggravated Assault,23/10/2018 17:16,4.229.855.898,-7.107.307.742
I182085589,Larceny,23/10/2018 11:23,4.227.531.312,-7.111.587.798
I182085521,Larceny,18/10/2018 11:00,4.238.093.345,-7.104.023.929
I182085404,Larceny From Motor Vehicle,17/10/2018 15:00,4.232.898.932,-7.105.630.174
I182085338,Larceny,22/10/2018 16:51,4.237.620.267,-7.103.979.926
I182085250,Aggravated Assault,22/10/2018 12:11,4.228.927.826,-7.107.581.493
I182085169,Larceny,22/10/2018 02:47,4.232.195.809,-7.108.351.213
I182085049,Larceny,14/10/2018 12:00,4.237.515.302,-7.105.841.364
I182084967,Auto Theft,21/10/2018 03:30,4.235.555.882,-7.105.849.336
I182084852,Larceny,20/10/2018 16:55,4.235.095.909,-7.107.412.780
I182084794,Larceny,20/10/2018 10:15,4.236.309.564,-7.105.815.372
I182084681,Larceny,20/10/2018 01:17,4.228.544.298,-7.113.676.974
I182084562,Larceny,11/10/2018 16:15,4.236.165.196,-7.105.630.529
I182084412,Larceny From Motor Vehicle,19/10/2018 01:08,4.228.367.511,-7.105.267.191
I182084325,Aggravated Assault,18/10/2018 18:45,4.233.555.954,-7.107.436.364
I182084236,Auto Theft,05/10/2018 01:00,4.229.534.580,-7.108.790.188
I182084167,Larceny,18/10/2018 09:48,4.228.788.933,-7.112.658.585
I182084050,Larceny,17/10/2018 18:45,4.235.095.909,-7.107.412.780
I182083945,Larceny,17/10/2018 12:50,4.233.523.404,-7.107.670.603
I182083863,Larceny From Motor Vehicle,16/10/2018 17:00,4.228.456.125,-7.106.068.770
I182083765,Larceny,16/10/2018 18:32,4.226.635.864,-7.109.549.272
I182083672,Residential Burglary,16/10/2018 11:17,4.234.569.100,-7.106.336.500
I182083549,Residential Burglary,16/10/2018 08:43,4.232.898.932,-7.105.630.174
I182083443,Larceny,15/10/2018 18:56,4.234.932.471,-7.108.014.801
I182083387,Larceny,14/10/2018 16:00,4.227.531.312,-7.111.587.798
I182083319,Commercial Burglary,15/10/2018 11:11,4.235.059.717,-7.107.881.031
I182083243,Larceny,14/10/2018 20:40,4.234.653.820,-7.109.880.598
I182083135,Robbery,14/10/2018 17:28,4.234.942.050,-7.108.315.800
I182083033,Larceny From Motor Vehicle,13/10/2018 23:30,4.231.397.418,-7.109.858.375
I182082913,Larceny,13/10/2018 16:42,4.235.053.569,-7.106.119.400
I182082824,Larceny From Motor Vehicle,10/10/2018 19:00,4.235.452.997,-7.115.531.180
I182082677,Homicide,12/10/2018 21:31,4.230.510.150,-7.108.083.089
I182082578,Larceny,10/10/2018 15:49,4.232.153.248,-7.107.738.533
I182082479,Larceny From Motor Vehicle,10/10/2018 14:30,4.228.636.893,-7.113.005.503
I182082387,Larceny,11/10/2018 17:00,4.238.117.064,-7.107.213.904
I182082299,Larceny,11/10/2018 06:00,4.233.033.485,-7.110.749.865
I182082220,Larceny,11/10/2018 12:46,4.225.189.440,-7.112.535.310
I182082132,Larceny,11/10/2018 04:55,4.234.749.899,-7.107.925.506
I182082041,Larceny,10/10/2018 08:30,4.236.600.842,-7.106.403.504
I182081935,Larceny From Motor Vehicle,09/10/2018 08:00,4.228.058.479,-7.111.451.352
I182081829,Commercial Burglary,09/10/2018 17:00,4.231.451.479,-7.109.470.820
I182081726,Larceny,09/10/2018 16:30,4.233.395.125,-7.107.538.939
I182081652,Robbery,09/10/2018 15:50,4.230.584.423,-7.106.261.555
I182081539,Auto Theft,08/10/2018 18:00,4.229.697.913,-7.111.561.599
I182081479,Larceny,10/09/2018 06:26,4.233.675.016,-7.107.662.788
I182081406,Larceny From Motor Vehicle,07/10/2018 09:20,4.230.554.440,-7.107.176.554
I182081346,Larceny,08/10/2018 15:12,4.233.192.532,-7.108.411.222
I182081264,Larceny From Motor Vehicle,05/10/2018 00:00,4.232.118.290,-7.110.682.780
I182081192,Aggravated Assault,07/10/2018 21:27,4.230.247.823,-7.106.987.297
I182081103,Larceny,06/10/2018 00:00,4.235.120.708,-7.105.987.799
I182081042,Larceny,07/10/2018 10:04,4.234.353.469,-7.109.980.109
I182080967,Homicide,06/10/2018 23:35,4.229.307.537,-7.107.183.785
I182080825,Larceny,06/10/2018 12:34,4.234.797.240,-7.107.849.582
